tracking_id,law_id,risk_rating,internal_owner_dept,compliance_status,enforcement_grace_period_end,product_applicability_tags,technical_spec_ref_url,last_analyst_review_date,audit_trail_notes
1,1,,,Gap Analysis,,,,,
2,2,,,Gap Analysis,,,,,
3,3,,,Gap Analysis,,,,,
4,4,,,Gap Analysis,,,,,
5,5,,,Gap Analysis,,,,,
6,6,,,Gap Analysis,,,,,
7,7,,,Gap Analysis,,,,,
8,8,,,Gap Analysis,,,,,
9,9,,,Gap Analysis,,,,,
10,10,,,Gap Analysis,,,,,
11,11,,,Gap Analysis,,,,,
12,12,,,Gap Analysis,,,,,
13,13,,,Gap Analysis,,,,,
14,14,,,Gap Analysis,,,,,
15,15,,,Gap Analysis,,,,,
16,16,,,Gap Analysis,,,,,
17,17,,,Gap Analysis,,,,,
18,18,,,Gap Analysis,,,,,
19,19,,,Gap Analysis,,,,,
20,20,,,Gap Analysis,,,,,
21,21,,,Gap Analysis,,,,,
22,22,,,Gap Analysis,,,,,
23,23,,,Gap Analysis,,,,,
24,24,,,Gap Analysis,,,,,
25,25,,,Gap Analysis,,,,,
26,26,,,Gap Analysis,,,,,
27,27,,,Gap Analysis,,,,,
28,28,,,Gap Analysis,,,,,
29,29,,,Gap Analysis,,,,,
30,30,,,Gap Analysis,,,,,
31,31,,,Gap Analysis,,,,,
32,32,,,Gap Analysis,,,,,
33,33,,,Gap Analysis,,,,,
34,34,,,Gap Analysis,,,,,
35,35,,,Gap Analysis,,,,,
36,36,,,Gap Analysis,,,,,
37,37,,,Gap Analysis,,,,,
38,38,,,Gap Analysis,,,,,
39,39,,,Gap Analysis,,,,,
40,40,,,Gap Analysis,,,,,
41,41,,,Gap Analysis,,,,,
42,42,,,Gap Analysis,,,,,
43,43,,,Gap Analysis,,,,,
44,44,,,Gap Analysis,,,,,
45,45,,,Gap Analysis,,,,,
46,46,,,Gap Analysis,,,,,
47,47,,,Gap Analysis,,,,,
48,48,,,Gap Analysis,,,,,
49,49,,,Gap Analysis,,,,,
50,50,,,Gap Analysis,,,,,
51,51,,,Gap Analysis,,,,,
52,52,,,Gap Analysis,,,,,
53,53,,,Gap Analysis,,,,,
54,54,,,Gap Analysis,,,,,
55,55,,,Gap Analysis,,,,,
56,56,,,Gap Analysis,,,,,
57,57,,,Gap Analysis,,,,,
58,58,,,Gap Analysis,,,,,
59,59,,,Gap Analysis,,,,,
60,60,,,Gap Analysis,,,,,
61,61,,,Gap Analysis,,,,,
62,62,,,Gap Analysis,,,,,
63,63,,,Gap Analysis,,,,,
64,64,,,Gap Analysis,,,,,
65,65,,,Gap Analysis,,,,,
66,66,,,Gap Analysis,,,,,
67,67,,,Gap Analysis,,,,,
68,68,,,Gap Analysis,,,,,
69,69,,,Gap Analysis,,,,,
70,70,,,Gap Analysis,,,,,
71,71,,,Gap Analysis,,,,,
72,72,,,Gap Analysis,,,,,
73,73,,,Gap Analysis,,,,,
74,74,,,Gap Analysis,,,,,
75,75,,,Gap Analysis,,,,,
76,76,,,Gap Analysis,,,,,
77,77,,,Gap Analysis,,,,,
78,78,,,Gap Analysis,,,,,
79,79,,,Gap Analysis,,,,,
80,80,,,Gap Analysis,,,,,
81,81,,,Gap Analysis,,,,,
82,82,,,Gap Analysis,,,,,
83,83,,,Gap Analysis,,,,,
84,84,,,Gap Analysis,,,,,
85,85,,,Gap Analysis,,,,,
86,86,,,Gap Analysis,,,,,
87,87,,,Gap Analysis,,,,,
88,88,,,Gap Analysis,,,,,
89,89,,,Gap Analysis,,,,,
90,90,,,Gap Analysis,,,,,
91,91,,,Gap Analysis,,,,,
92,92,,,Gap Analysis,,,,,
93,93,,,Gap Analysis,,,,,
94,94,,,Gap Analysis,,,,,
95,95,,,Gap Analysis,,,,,
96,96,,,Gap Analysis,,,,,
97,97,,,Gap Analysis,,,,,
98,98,,,Gap Analysis,,,,,
99,99,,,Gap Analysis,,,,,
100,100,,,Gap Analysis,,,,,
101,101,,,Gap Analysis,,,,,
102,102,,,Gap Analysis,,,,,
103,103,,,Gap Analysis,,,,,
104,104,,,Gap Analysis,,,,,
105,105,,,Gap Analysis,,,,,
106,106,,,Gap Analysis,,,,,
107,107,,,Gap Analysis,,,,,
108,108,,,Gap Analysis,,,,,
109,109,,,Gap Analysis,,,,,
110,110,,,Gap Analysis,,,,,
111,111,,,Gap Analysis,,,,,
112,112,,,Gap Analysis,,,,,
113,113,,,Gap Analysis,,,,,
114,114,,,Gap Analysis,,,,,
115,115,,,Gap Analysis,,,,,
116,116,,,Gap Analysis,,,,,
117,117,,,Gap Analysis,,,,,
118,118,,,Gap Analysis,,,,,
119,119,,,Gap Analysis,,,,,
120,120,,,Gap Analysis,,,,,
121,121,,,Gap Analysis,,,,,
122,122,,,Gap Analysis,,,,,
123,123,,,Gap Analysis,,,,,
124,124,,,Gap Analysis,,,,,
125,125,,,Gap Analysis,,,,,
126,126,,,Gap Analysis,,,,,
127,127,,,Gap Analysis,,,,,
128,128,,,Gap Analysis,,,,,
129,129,,,Gap Analysis,,,,,
130,130,,,Gap Analysis,,,,,
131,131,,,Gap Analysis,,,,,
132,132,,,Gap Analysis,,,,,
133,133,,,Gap Analysis,,,,,
134,134,,,Gap Analysis,,,,,
135,135,,,Gap Analysis,,,,,
136,136,,,Gap Analysis,,,,,
137,137,,,Gap Analysis,,,,,
138,138,,,Gap Analysis,,,,,
139,139,,,Gap Analysis,,,,,
140,140,,,Gap Analysis,,,,,
141,141,,,Gap Analysis,,,,,
142,142,,,Gap Analysis,,,,,
143,143,,,Gap Analysis,,,,,
144,144,,,Gap Analysis,,,,,
145,145,,,Gap Analysis,,,,,
146,146,,,Gap Analysis,,,,,
147,147,,,Gap Analysis,,,,,
148,148,,,Gap Analysis,,,,,
149,149,,,Gap Analysis,,,,,
150,150,,,Gap Analysis,,,,,
151,151,,,Gap Analysis,,,,,
152,152,,,Gap Analysis,,,,,
153,153,,,Gap Analysis,,,,,
154,154,,,Gap Analysis,,,,,
155,155,,,Gap Analysis,,,,,
156,156,,,Gap Analysis,,,,,
157,157,,,Gap Analysis,,,,,
158,158,,,Gap Analysis,,,,,
159,159,,,Gap Analysis,,,,,
160,160,,,Gap Analysis,,,,,
161,161,,,Gap Analysis,,,,,
162,162,,,Gap Analysis,,,,,
163,163,,,Gap Analysis,,,,,
164,164,,,Gap Analysis,,,,,
165,165,,,Gap Analysis,,,,,
166,166,,,Gap Analysis,,,,,
167,167,,,Gap Analysis,,,,,
168,168,,,Gap Analysis,,,,,
169,169,,,Gap Analysis,,,,,
170,170,,,Gap Analysis,,,,,
171,171,,,Gap Analysis,,,,,
172,172,,,Gap Analysis,,,,,
173,173,,,Gap Analysis,,,,,
174,174,,,Gap Analysis,,,,,
175,175,,,Gap Analysis,,,,,
176,176,,,Gap Analysis,,,,,
