raw_term,tier1_code,tier2_label,notes
impact_assessment,impact_assessment,impact_assessment,
bias_audit,bias_testing,bias_audit,
registration,registration,registration,
certification,certification,certification,
record_keeping,record_keeping,record_keeping,
reporting,reporting_to_regulator,reporting,
disclosure,disclosure_to_user,disclosure,
notification,labeling_watermarking,notification,
third_party_audit,third_party_audit,third_party_audit,
self_certification,certification,self_certification,
bias_audit (audit_type),bias_testing,bias_audit_(audit_type),
risk_assessment,impact_assessment,risk_assessment,
Program and documentation,documentation,program_and_documentation,
Assessments,impact_assessment,assessments,
Training,training_mandate,training,
Responsible individual,human_review,responsible_individual,
General notice,disclosure_to_user,general_notice,
Labeling/notification,labeling_watermarking,labeling_or_notification,
Explanation/incident reporting,incident_reporting,explanation_or_incident_reporting,
Developer documentation,documentation,developer_documentation,
Registration,registration,registration,
Third-party review,third_party_audit,third-party_review,
Opt out/appeal,opt_out_right,opt_out_or_appeal,
Nondiscrimination,prohibition,nondiscrimination,
prohibited (modality),prohibition,prohibited_(modality),
