raw_term,tier1_code,tier2_label,notes
notice,notice,notice,
explanation,explanation,explanation,
opt_out,opt_out,opt_out,
appeal,appeal,appeal,
deletion,deletion,deletion,
human_review,human_review,human_review,
non_discrimination,non_discrimination,non_discrimination,
portability,portability,portability,
access,access,access,
General notice,notice,general_notice,
Explanation/incident reporting,explanation,explanation_or_incident_reporting,
Opt out/appeal,opt_out,opt_out_or_appeal,
Third-party review,human_review,third-party_review,
Nondiscrimination,non_discrimination,nondiscrimination,
Labeling/notification,notice,labeling_or_notification,
