canonical_law_id,bill_number,jurisdiction,status,title,bucket
TMP-AZ-ARIZONAPOLITIC,SB 1359,6,,Arizona Political Deepfake Law,text_ready
TMP-AR-OFARKANSASCSAM,HB1877,7,,Amendment of Arkansas CSAM Laws,text_ready
US-AR-AB1018,AB 1018,7,1,AB 1018,text_ready
US-AR-SB258,SB 258,7,1,SB 258,text_ready
US-AR-SB468,SB 468,7,1,SB 468,text_ready
TMP-CA-AMENDMENTOFCAL,SB 926,1,,Amendment of California CSAM Laws,text_ready
TMP-CA-AMENDMENTTOTHE,AB 2355,1,,Amendment to the Political Reform Act,text_ready
TMP-CA-DECEPTIVEMEDIA,AB 2839,1,,Deceptive Media in Election Advertisements,text_ready
TMP-CA-HEALTHCAREUTIL,SB 1120,1,,AI Healthcare Utilization Law,text_ready
TMP-CA-MEDIADIGITALID,SB 981,1,,Digital Identity Theft Act,text_ready
TMP-CA-PRICINGCARTWRI,AB 325,1,,Cartwright Act Common Pricing Algorithm Amendment,text_ready
TMP-CA-TODECEASEDAB18,AB 1836,1,,Amendment to Deceased Personality Protections,text_ready
US-CA-AB412,AB 412,1,1,AB 412 (Active Bill - Generative AI/Synthetic Content),text_ready
US-CA-HB94,HB 94,1,1,HB 94,text_ready
US-CA-SB420,SB 420,1,1,SB 420 (Active Bill - Automated Decision Systems),text_ready
US-CA-SB942,SB 942,1,4,SB 942 (Enacted - Generative AI/Synthetic Content),text_ready
TMP-CA-INTELLIGENCETR,AB 2013,1,,Artificial Intelligence Training Data Transparency Act,text_ready
TMP-CA-MEDIADEFENDING,AB 2655,1,,Defending Democracy from Deepfake,text_ready
TMP-CT-DATAPRIVACYACT,SB1295,8,,Connecticut Data Privacy Act,text_ready
US-CT-SB2,SB 2,8,1,SB 2,text_ready
TMP-DE-AMENDMENTTOTHE,HB 353,9,,Amendment to the Delaware Code Relating to Deepfakes,text_ready
TMP-DE-DELAWAREARTIFI,HB 233,9,,Delaware Artificial Intelligence Commission Act,text_ready
TMP-FL-DECISIONFLORID,SB 262,10,,Florida Digital Bill of Rights,text_ready
TMP-FL-FLORIDAACTRELA,HB 919,10,,Florida Act Relating to AI Use in Political Advertising,text_ready
TMP-FL-OFFLORIDACSAML,SB 1680,10,,Amendment of Florida CSAM Laws,text_ready
US-FL-HB369,HB 369,10,1,HB 369,text_ready
TMP-GA-OFGEORGIACSAML,SB 466,11,,Amendment of Georgia CSAM Law,text_ready
TMP-GA-PROHIBITIONONN,,11,,Prohibition on Nude or Sexually Explicit Electronic Transmis,text_ready
US-NV-AB3356,AB 3356,29,1,AB 3356,text_ready
US-CO-SB149,SB 149,2,4,SB 149,text_ready
US-CO-SB318,SB 318,2,1,SB 318,text_ready
TMP-CT-CONNECTICUTACT,SB 1103,8,,"Connecticut Act Concerning AI, Automated Decision-Making and",text_ready
US-ID-HB127,HB 127,13,1,HB 127,text_ready
US-ID-SB1929,SB 1929,13,1,SB 1929,text_ready
TMP-IL-AITHEWELLNESSA,HB1806,14,,The Wellness and Oversight for Psychological Resources Act,text_ready
TMP-IL-VOICEANDLIKENE,HB 4762,14,,Digital Voice and Likeness Protection Act,text_ready
US-IL-SB1792,SB 1792,14,1,SB 1792 (Active Bill - Generative AI/Synthetic Content),text_ready
