State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
Alabama,AI CSAM,Alabama Child Protection Act of 2024,HB 168,1-Oct-24,"Expands the scope the definition of child sexual abuse material to include ""virtually indistinguishable depictions"" created, altered, or produced by digital, computer generated, or other means.",Existing criminal penalties apply.,Active,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB168-enr.pdf,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB168-enr.pdf
Alabama,AI in Political Advertising,Alabama Materially Deceptive Election Media Law,AL HB172,1-Oct-24,Prohibits the distribution of materially deceptive AI-generated media falsely depicting an individual that is intended to influence an election. Provides a safe harbor from liability where the person provides a disclaimer that the media has been manipulated by technical means and depicts speech or conduct that did not occur.,Class A Misdemeanor for first offense. Class D Felony for subsequent offense.,Active,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB172-enr.pdf,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB172-enr.pdf
Arizona,AI Deepfakes,Arizona General Deepfake Law,HB 2394,4-Jun-24,"Grants any Arizona citizen (or a candidate for public office or political party office who will appear on the ballot in Arizona) the right to bring an action for preliminary and permanent declaratory relief (and, in certain circumstances, injunctive relief or damages) where: A digital impersonation (typically video, audio or still image generated by AI) of the person was published to one or more other persons without that person's consent; At the time of publication it would not be obvious to a reasonable person that the content was a digital impersonation and the publisher did not reasonably convey to the recipients that the content was a digital impersonation or that its authenticity was disputed; and The digital impersonation presents some risk of harm (e.g., depicting the person engaging in a criminal or sexual act, resulting in personal hardship or the loss of employment, presenting a risk to an upcoming election).","Permanent declaratory relief, permanent injunctive relief, and in certain circumstances, damages.",Active,https://www.azleg.gov/legtext/56leg/2R/laws/0193.pdf,https://www.azleg.gov/legtext/56leg/2R/laws/0193.pdf
Arizona,AI in Political Advertising,Arizona Political Deepfake Law,SB 1359,4-Jun-24,Prohibits any person from creating and distributing a synthetic media message that the person knows is a deceptive and fraudulent deepfake of a candidate for elected office within 90 days of an election unless the synthetic media message includes a clear and conspicuous disclosure that conveys to a reasonable person that the media includes content generated by artificial intelligence.,"Permanent declaratory relief, permanent injunctive relief and, in certain circumstances, damages.",Active,https://www.azleg.gov/legtext/56leg/2R/laws/0199.pdf,https://www.azleg.gov/legtext/56leg/2R/laws/0199.pdf
Arizona,AI Intimate Images,Amendment of Arizona Intimate Images Law,Arizona Revised Statutes Section 13-1425,25-Sep-25,Extends prohibitions on unlawful disclosure of intimate images to include realistic pictorial representations.,Class 1 Misdemeanor.,Active,https://infobytes.orrick.com/wp-content/uploads/Arizona-2025-SB1462-Engrossed.pdf,https://infobytes.orrick.com/wp-content/uploads/Arizona-2025-SB1462-Engrossed.pdf
Arkansas,AI Ownership,Ownership of Model Training and Generated Content,Arkansas Code Title 18-4-101,21-Apr-25,"Sets the following default rules for AI ownership: The person who provides input or directive to a generative AI tool is the owner of the generated content, provided the content does not infringe on existing copyrights or IP rights. The person who provides data or input to train a generative AI tool is the owner of the resulting trained model, provided the training data was lawfully acquired and the person has not transferred ownership rights through a contract or agreement. A person's employer will be deemed the owner of such generated content or resulting trained model where the person is employed and is directed to use a generative AI tool to conduct model training or generate content as part of their employment duties.",N/A,Active,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT927.pdf,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT927.pdf
Arkansas,AI CSAM,Amendment of Arkansas CSAM Laws,HB1877,21-Jul-25,Expands the scope of existing child pornography statutes to include AI generated images that are indistinguishable from the image of a child participating or engaging in sexually explicit conduct.,Existing criminal penalties apply.,Active,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT977.pdf,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT977.pdf
California,User-Facing AI,California Bot Act,Cal. Bus. & Prof. Code § 17940 –17943,1-Jul-19,"Prohibits any person from using a bot online to communicate or interact with a person in California with the intent to mislead the person about the bot's artificial identity for the purpose of knowingly deceiving the person about the content of the communication in order to incentivize a commercial transaction or influence a vote in an election. Provides a safe harbor from liability where the person clearly and conspicuously discloses, in a manner reasonably designed to inform the relevant person, that a bot is in use.",Up to $2,Active,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=7.&title=&part=3.&chapter=6.&article,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=7.&title=&part=3.&chapter=6.&article
California,AI in Government,California Government AI Inventory Law,Cal. Gov. Code § 11546.45.5,1-Jan-24,"Requires the California Department of Technology to inventory all high-risk automated decision systems used or proposed by state agencies on or before September 1, 2024, detailing their functions, benefits, data usage, and risk mitigation measures. Requires the California Department of Technology to submit a report of the comprehensive inventory to specified committees of the California Legislature annually until January 1, 2029.",N/A,Active,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=11546.45.5.,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=11546.45.5.
California,AI in Political Advertising,Deceptive Media in Election Advertisements,AB 2839,17-Sep-24,"Prohibits a person, committee, or other entity from knowingly distributing an advertisement or other election communication that contains certain materially deceptive deepfake content with malice within 120 days of an election in California and, in specified cases, 60 days after an election.",General or special damages.,Active,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839
